Pays,Taux_emplois_vulnerables_2023
Qatar,0.125571690575064
Bahreïn,0.968063121666811
Émirats arabes unis,1.12356353480216
Koweït,1.25268184164684
Arabie saoudite,1.87052039870677
Oman,2.40639618977858
"Région administrative spéciale de Macao, Chine",3.30623501075887
États-Unis,3.65789897142036
Bélarus,4.00937166467308
Norvège,4.04308119809876
Amérique du Nord,4.30998770456331
Brunéi Darussalam,4.59946792787467
Allemagne,4.64947967238098
Fédération de Russie,5.19803841546516
Danemark,5.74723880345618
"Chine, RAS de Hong Kong",6.18939332347087
Luxembourg,6.61469783163812
Estonie,6.81669701757991
Bulgarie,7.21424614166996
Suède,7.2881792133964
Îles Vierges (EU),7.58736026758208
Japon,7.8790588899942
Croatie,7.95700902812845
Israël,7.96459670696645
France,8.08088652065939
de Post-dividende démographique,8.14908528026929
Revenu élevé,8.30019942733657
Australie,8.35164551553465
Jordanie,8.36463070574788
Lettonie,8.37466556791042
Hongrie,8.37999617036591
Chypre,8.69930625592127
Guam,9.10399473583198
Autriche,9.11960393616371
Singapour,9.30429650123792
Canada,9.43773977189895
Zone euro,9.59741173444706
Finlande,9.77370325548847
Portugal,9.91082256944625
Irlande,9.92050438074038
Macédoine du Nord,9.93858662745437
Espagne,10.3535551261298
Union européenne,10.5429062403133
Lituanie,10.5964946305013
Slovénie,10.6166686133766
Îles Anglo-Normandes,10.8708730831093
Afrique du Sud,10.9086773099512
Malte,11.125559485046
Belgique,11.4546360988482
Suisse,11.6517495433356
Royaume-Uni,11.8606534777851
Pays membres de l'OCDE,12.1555940099849
République slovaque,12.3555599440024
Islande,12.3994690744605
Libye,12.8203658268101
Nouvelle-Zélande,13.0887190379178
Pays-Bas,13.1280382660719
Europe et Asie centrale,13.3044171674091
Porto Rico,13.6711927201287
Nouvelle-Calédonie,13.8422268980028
République tchèque,14.1062420418722
Europe centrale et les pays baltes,14.3512778803521
Bahamas,14.967412627723
Polynésie française,15.1406474443737
Italie,15.146088363632
Monténégro,15.4143376974153
Maurice,15.7449280464727
Pologne,16.0160767742799
Europe et Asie centrale (BIRD et IDA),17.3396847803155
"Corée, République de",18.1876056083088
Bosnie-Herzégovine,18.7797531746279
Tunisie,18.8896408810868
Maldives,19.0741349873909
Barbade,19.9957351059606
Suriname,20.0241109619072
Saint-Vincent-et-les Grenadines,20.1847585915096
Liban,20.7529469656952
Trinité-et-Tobago,21.4596545208469
Chili,21.4932734661462
Le monde arabe,21.5527765348968
Roumanie,21.6438577326482
Autres petits états,22.2395476775426
Petits états des Caraïbes,22.2871290680479
Argentine,22.4431414708465
Cuba,22.8890770786776
"Égypte, République arabe d’",23.3006975763207
Sainte-Lucie,23.3012385710662
Tadjikistan,23.3425360979585
Afrique du Nord et Moyen-Orient,23.5134314071274
Grèce,23.6681763686899
Serbie,23.8138862593011
Turquie,23.9397576167436
Costa Rica,24.1647492954622
Kazakhstan,24.2674264810413
Malaisie,24.3075421553172
Petits états,25.3750949957324
Uruguay,25.697735585088
Mexique,26.1101808989133
Guyana,26.2133230229679
Brésil,27.0083115550624
Iraq,27.1298720791866
Algérie,27.4765337218948
Europe et Asie centrale (hors revenu élevé),28.1575977206513
Turkménistan,28.606420287821
Botswana,28.7847454984357
Afrique du Nord et Moyen-Orient (hors revenu élevé),30.1642809426604
Afrique du Nord et Moyen-Orient (BIRD et IDA),30.1642809426604
Fidji,30.1993799240923
Djibouti,30.3267817484878
Belize,30.508801684309
Gabon,31.1930653764463
République kirghize,31.2214512314356
El Salvador,31.5097912658232
Namibie,32.125143548138
Amérique latine et Caraïbes,32.2311310142432
Amérique latine et Caraïbes (BIRD et IDA),32.4705033071107
Amérique latine et Caraïbes (hors revenu élevé),32.4710506491268
Eswatini,32.7046980400277
Lesotho,32.8677736549927
Jamaïque,33.0518766018545
République arabe syrienne,33.2680127897735
Ouzbékistan,33.675511873153
Sao Tomé-et-Principe,34.1621409409147
Philippines,34.1838296380198
Cabo Verde,34.2082963130351
Maroc,35.7377556457998
Honduras,35.8449748178072
Panama,36.0676589052509
Paraguay,36.2303294267928
Guatemala,36.6134453177325
Mongolie,36.7201905088445
Tonga,37.0026486596618
de dividende tardif démographique,37.3348767061131
Nicaragua,37.5688291304699
République dominicaine,38.3000512745648
"Revenu intermédiaire, tranche supérieure",38.8201756407863
Sri Lanka,38.888735281687
Venezuela,38.9079058484608
"Iran, République islamique d’",39.2121124159392
Rwanda,40.1715867546805
Asie de l’Est et Pacifique,40.5282950436626
Chine,41.2723184281778
Samoa,41.7505766907107
Asie de l’Est et Pacifique (BIRD et IDA),43.463500589617
Colombie,43.797772115217
Monde,44.1159671327426
Asie de l’Est et Pacifique (hors revenu élevé),44.1176888766681
Somalie,45.1666064420959
BIRD seulement,46.2433598491086
Géorgie,46.5520971982716
"Yémen, Rép. du",46.9222756650897
Petits états insulaires du Pacifique,48.1141803681174
Albanie,48.3022349335928
Équateur,48.4850810679648
Pérou,48.6156461629802
Bangladesh,48.8771757779711
Thaïlande,49.7201169222356
Revenu intermédiaire,50.581541618192
Indonésie,50.6716383615003
BIRD et IDA,51.1399264889738
Viet Nam,51.1619609527247
Cambodge,52.5743340891119
Azerbaïdjan,52.9564233083448
Revenu faible et intermédiaire,53.0398282032381
Mauritanie,53.0911751619877
Pakistan,55.6365675190382
de dividende précoce démographique,56.2061284597036
Comores,56.7047183286688
Timor-Leste,56.9400216338621
Vanuatu,57.4782815009491
Moldova,58.7430147631787
Arménie,59.8349998391429
Malawi,60.5104916926817
Angola,60.5781123289246
IDA mélange,60.933954670526
Myanmar,62.6599926213936
Îles Salomon,63.2428137258197
"Revenu intermédiaire, tranche inférieure",63.5378316198169
Bolivie,64.1073330540445
Gambie,64.141881515068
Kenya,64.3149632696927
Nigéria,66.0834454635263
IDA totale,66.5803994781093
Ghana,67.8667340077754
Cameroun,67.8753586122135
Sénégal,68.2753463911519
Asie du Sud (BIRD et IDA),68.3706158648836
Asie du Sud,68.3706158648836
Zimbabwe,68.646910651971
IDA seulement,69.6328472376157
Bhoutan,70.1971121083152
Fragile et les situations de conflit touchées,70.2254891390283
Zambie,70.6093102564362
Burkina Faso,71.2777277013861
Soudan du Sud,71.4145360618838
Afrique subsaharienne,71.4457081951259
Afrique subsaharienne (BIRD et IDA),71.4457081951259
Afrique subsaharienne (hors revenu élevé),71.4457081951259
Pays les moins avancés: classement de l’ONU,71.5480234152883
de Pré-dividende démographique,72.5837906786475
Inde,72.7628404600891
Côte d'Ivoire,72.890168481635
Érythrée,73.983287510957
"Congo, République du",74.5202031235954
Ouganda,74.7023097960234
Haïti,74.7200708350374
Papouasie-Nouvelle-Guinée,74.8963358543021
République démocratique populaire lao,76.7073863063281
